soure	batch	plate	sqlite_file	Metadata_PlateType
source_1	Batch1_20221004	UL000109	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL000109/UL000109.sqlite	COMPOUND_EMPTY
source_1	Batch1_20221004	UL001641	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001641/UL001641.sqlite	COMPOUND
source_1	Batch1_20221004	UL001643	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001643/UL001643.sqlite	COMPOUND
source_1	Batch1_20221004	UL001645	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001645/UL001645.sqlite	COMPOUND
source_1	Batch1_20221004	UL001651	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001651/UL001651.sqlite	COMPOUND
source_1	Batch1_20221004	UL001653	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001653/UL001653.sqlite	COMPOUND
source_1	Batch1_20221004	UL001655	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001655/UL001655.sqlite	COMPOUND
source_1	Batch1_20221004	UL001659	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001659/UL001659.sqlite	COMPOUND_EMPTY
source_1	Batch1_20221004	UL001661	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch1_20221004/UL001661/UL001661.sqlite	COMPOUND_EMPTY
source_1	Batch2_20221006	UL001647	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001647/UL001647.sqlite	COMPOUND
source_1	Batch2_20221006	UL001649	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001649/UL001649.sqlite	COMPOUND
source_1	Batch2_20221006	UL001671	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001671/UL001671.sqlite	COMPOUND
source_1	Batch2_20221006	UL001673	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001673/UL001673.sqlite	COMPOUND
source_1	Batch2_20221006	UL001675	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001675/UL001675.sqlite	COMPOUND
source_1	Batch2_20221006	UL001677	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001677/UL001677.sqlite	COMPOUND
source_1	Batch2_20221006	UL001679	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch2_20221006/UL001679/UL001679.sqlite	COMPOUND
source_1	Batch3_20221010	UL000087	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL000087/UL000087.sqlite	COMPOUND
source_1	Batch3_20221010	UL000089	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL000089/UL000089.sqlite	COMPOUND
source_1	Batch3_20221010	UL000091	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL000091/UL000091.sqlite	COMPOUND
source_1	Batch3_20221010	UL001665	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL001665/UL001665.sqlite	COMPOUND
source_1	Batch3_20221010	UL001667	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL001667/UL001667.sqlite	COMPOUND
source_1	Batch3_20221010	UL001669	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL001669/UL001669.sqlite	COMPOUND
source_1	Batch3_20221010	UL001785	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL001785/UL001785.sqlite	COMPOUND
source_1	Batch3_20221010	UL001787	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch3_20221010/UL001787/UL001787.sqlite	COMPOUND
source_1	Batch4_20221012	UL000081	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL000081/UL000081.sqlite	COMPOUND
source_1	Batch4_20221012	UL000083	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL000083/UL000083.sqlite	COMPOUND
source_1	Batch4_20221012	UL000093	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL000093/UL000093.sqlite	COMPOUND
source_1	Batch4_20221012	UL000095	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL000095/UL000095.sqlite	COMPOUND
source_1	Batch4_20221012	UL000097	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL000097/UL000097.sqlite	COMPOUND
source_1	Batch4_20221012	UL001765	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL001765/UL001765.sqlite	COMPOUND
source_1	Batch4_20221012	UL001769	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL001769/UL001769.sqlite	COMPOUND
source_1	Batch4_20221012	UL001771	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch4_20221012/UL001771/UL001771.sqlite	COMPOUND
source_1	Batch5_20221030	UL000561	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL000561/UL000561.sqlite	COMPOUND_EMPTY
source_1	Batch5_20221030	UL001713	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001713/UL001713.sqlite	COMPOUND
source_1	Batch5_20221030	UL001719	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001719/UL001719.sqlite	COMPOUND
source_1	Batch5_20221030	UL001773	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001773/UL001773.sqlite	COMPOUND
source_1	Batch5_20221030	UL001781	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001781/UL001781.sqlite	COMPOUND
source_1	Batch5_20221030	UL001783	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001783/UL001783.sqlite	COMPOUND
source_1	Batch5_20221030	UL001791	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001791/UL001791.sqlite	COMPOUND
source_1	Batch5_20221030	UL001793	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001793/UL001793.sqlite	COMPOUND
source_1	Batch5_20221030	UL001795	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001795/UL001795.sqlite	COMPOUND
source_1	Batch5_20221030	UL001797	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001797/UL001797.sqlite	COMPOUND
source_1	Batch5_20221030	UL001799	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch5_20221030/UL001799/UL001799.sqlite	COMPOUND
source_1	Batch6_20221102	UL000577	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000577/UL000577.sqlite	COMPOUND
source_1	Batch6_20221102	UL000579	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000579/UL000579.sqlite	COMPOUND
source_1	Batch6_20221102	UL000581	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000581/UL000581.sqlite	COMPOUND
source_1	Batch6_20221102	UL000583	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000583/UL000583.sqlite	COMPOUND
source_1	Batch6_20221102	UL000585	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000585/UL000585.sqlite	COMPOUND
source_1	Batch6_20221102	UL000587	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000587/UL000587.sqlite	COMPOUND
source_1	Batch6_20221102	UL000593	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000593/UL000593.sqlite	COMPOUND
source_1	Batch6_20221102	UL000595	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000595/UL000595.sqlite	COMPOUND
source_1	Batch6_20221102	UL000597	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000597/UL000597.sqlite	COMPOUND
source_1	Batch6_20221102	UL000599	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL000599/UL000599.sqlite	COMPOUND
source_1	Batch6_20221102	UL001717	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL001717/UL001717.sqlite	COMPOUND
source_1	Batch6_20221102	UL001789	s3://cellpainting-gallery/cpg0016-jump/source_1/workspace/backend/Batch6_20221102/UL001789/UL001789.sqlite	COMPOUND
source_10	2021_05_31_U2OS_48_hr_run1	Dest210531-152149	s3://cellpainting-gallery/cpg0016-jump/source_10/workspace/backend/2021_05_31_U2OS_48_hr_run1/Dest210531-152149/Dest210531-152149.sqlite	COMPOUND
source_10	2021_05_31_U2OS_48_hr_run1	Dest210531-152324	s3://cellpainting-gallery/cpg0016-jump/source_10/workspace/backend/2021_05_31_U2OS_48_hr_run1/Dest210531-152324/Dest210531-152324.sqlite	COMPOUND
source_10	2021_05_31_U2OS_48_hr_run1	Dest210531-152459	s3://cellpainting-gallery/cpg0016-jump/source_10/workspace/backend/2021_05_31_U2OS_48_hr_run1/Dest210531-152459/Dest210531-152459.sqlite	COMPOUND
source_10	2021_05_31_U2OS_48_hr_run1	Dest210531-152634	s3://cellpainting-gallery/cpg0016-jump/source_10/workspace/backend/2021_05_31_U2OS_48_hr_run1/Dest210531-152634/Dest210531-152634.sqlite	COMPOUND
source_10	2021_05_31_U2OS_48_hr_run1	Dest210531-152810	s3://cellpainting-gallery/cpg0016-jump/source_10/workspace/backend/2021_05_31_U2OS_48_hr_run1/Dest210531-152810/Dest210531-152810.sqlite	COMPOUND
