Metadata_data_name	Metadata_Predicted_Class	Metadata_Phenotypic_Value	UMAP0	UMAP1
mitocheck	Large	1.0	6.124727	-1.4459121
mitocheck	Large	1.0	2.4282982	-0.66036403
mitocheck	Large	1.0	6.5341134	-0.2127959
mitocheck	Large	1.0	10.293399	2.107775
mitocheck	Large	1.0	6.36469	1.6837864
mitocheck	Large	1.0	0.8638661	0.15331303
mitocheck	Large	1.0	3.7495027	4.7821774
mitocheck	Large	1.0	6.072684	4.7863293
mitocheck	Large	1.0	1.754344	3.8049018
mitocheck	Large	1.0	3.1148026	5.3692408
mitocheck	Large	1.0	8.395626	2.784054
mitocheck	Large	1.0	9.87179	3.1912591
mitocheck	Large	1.0	0.7328884	2.0785751
mitocheck	Large	1.0	6.8175273	0.61120975
mitocheck	Large	1.0	5.42922	2.0255384
mitocheck	Large	1.0	-1.7937504	2.8165467
mitocheck	Large	1.0	2.0939186	1.934365
mitocheck	Large	1.0	0.6115524	2.7223506
mitocheck	Large	1.0	5.9560733	-1.6511242
mitocheck	Large	1.0	8.432726	-0.9729791
mitocheck	Large	1.0	4.1420856	-0.9240184
mitocheck	Large	1.0	6.8965454	4.3348317
mitocheck	Large	1.0	6.702305	-1.4234183
mitocheck	Large	1.0	2.7330382	2.3775866
mitocheck	Large	1.0	2.2220895	5.9454207
mitocheck	Large	1.0	6.3004227	0.88026994
mitocheck	Large	1.0	4.9702973	2.5830662
mitocheck	Large	1.0	-1.4319568	5.0690227
mitocheck	Large	1.0	6.102632	3.5734699
mitocheck	Large	1.0	3.920362	5.302065
mitocheck	Large	1.0	6.2500186	4.564176
mitocheck	Large	1.0	-1.5749496	5.075884
mitocheck	Large	1.0	-1.3808484	5.372124
mitocheck	Large	1.0	0.59350103	-0.4121156
mitocheck	Large	1.0	-1.5223936	4.9507837
mitocheck	Large	1.0	5.710653	1.1296268
mitocheck	Large	1.0	5.8587584	4.6937237
mitocheck	Large	1.0	-1.8509357	4.164375
mitocheck	Large	1.0	3.158278	0.97134423
mitocheck	Large	1.0	8.585049	1.0554489
mitocheck	Large	1.0	4.730314	0.8225463
mitocheck	Large	1.0	0.09777852	2.0307305
mitocheck	Large	1.0	6.9867992	3.9986098
mitocheck	Large	1.0	1.9160079	4.3378386
mitocheck	Large	1.0	2.7715566	1.9584768
mitocheck	Large	1.0	2.5893095	-0.3530454
mitocheck	Large	1.0	3.2027743	1.499134
mitocheck	Large	1.0	0.42918205	4.3061767
mitocheck	Large	1.0	2.1325777	0.4852332
mitocheck	Large	1.0	5.8874545	-0.97616076
mitocheck	Large	1.0	-0.6104538	-0.3547592
mitocheck	Large	1.0	4.584607	-0.9634005
mitocheck	Large	1.0	3.650695	1.5508068
mitocheck	Large	1.0	-0.0026194137	0.5709965
mitocheck	Large	1.0	5.4704795	-0.3437434
mitocheck	Large	1.0	7.2000227	-0.7669006
mitocheck	Large	1.0	9.059298	-0.870871
mitocheck	Large	1.0	6.569139	-0.8642232
mitocheck	Large	1.0	4.713602	1.195437
mitocheck	Large	1.0	-0.68383145	1.2849153
mitocheck	Large	1.0	7.354715	-0.8749062
mitocheck	Large	1.0	1.3370446	0.64533365
mitocheck	Large	1.0	4.221821	4.096418
mitocheck	Large	1.0	3.8900905	1.9136384
mitocheck	Large	1.0	6.147135	2.0401483
mitocheck	Large	1.0	3.8308768	2.9661055
mitocheck	Large	1.0	-0.9220833	4.920045
mitocheck	Large	1.0	5.534535	4.377209
mitocheck	Large	1.0	9.670632	2.6526365
mitocheck	Large	1.0	4.8603387	0.8525242
mitocheck	Large	1.0	0.60986704	5.4466066
mitocheck	Large	1.0	-2.58602	4.106308
mitocheck	Large	1.0	4.4550014	1.8114601
mitocheck	Large	1.0	4.1953335	2.0768561
mitocheck	Large	1.0	7.178077	3.1812162
mitocheck	Large	1.0	-0.1773331	5.038181
mitocheck	Large	1.0	2.885112	1.1267644
mitocheck	Large	1.0	0.6651694	-1.1412343
mitocheck	Large	1.0	2.871791	-1.271754
mitocheck	Prometaphase	1.0	-1.7586448	4.5402236
mitocheck	Prometaphase	1.0	-0.8100311	3.8582768
mitocheck	Prometaphase	1.0	-1.4503026	3.392768
mitocheck	Prometaphase	1.0	0.80454534	5.5355372
mitocheck	Prometaphase	1.0	-0.42516232	4.4477687
mitocheck	Prometaphase	1.0	-0.46682367	4.1066875
mitocheck	Prometaphase	1.0	-1.6742582	6.026821
mitocheck	Prometaphase	1.0	-2.0082695	2.2503324
mitocheck	Prometaphase	1.0	-0.46777362	2.5525694
mitocheck	Prometaphase	1.0	-2.5181627	5.64972
mitocheck	Prometaphase	1.0	-1.2208128	4.7888656
mitocheck	Prometaphase	1.0	-2.4615297	5.9088135
mitocheck	Prometaphase	1.0	-1.6860044	4.8764143
mitocheck	Prometaphase	1.0	-2.2000592	6.142568
mitocheck	Prometaphase	1.0	-2.4310036	5.96024
mitocheck	Prometaphase	1.0	-1.2180611	4.7818303
mitocheck	Prometaphase	1.0	0.68525475	4.425043
mitocheck	Prometaphase	1.0	-1.3444822	5.179893
mitocheck	Prometaphase	1.0	-2.6034448	5.704972
mitocheck	Prometaphase	1.0	-2.1230412	5.514384
mitocheck	Prometaphase	1.0	-2.3800244	5.638361
mitocheck	Prometaphase	1.0	-2.0260537	6.044615
mitocheck	Prometaphase	1.0	-2.658559	5.111196
mitocheck	Prometaphase	1.0	-1.0562235	4.513243
mitocheck	Prometaphase	1.0	-2.7758446	4.913279
mitocheck	Prometaphase	1.0	-1.4219002	5.6213145
mitocheck	Prometaphase	1.0	-1.5887042	5.383304
mitocheck	Prometaphase	1.0	0.26914883	4.7010894
mitocheck	Prometaphase	1.0	-0.49415478	5.3544292
mitocheck	Prometaphase	1.0	-2.72756	5.6450543
mitocheck	Prometaphase	1.0	-1.7544836	5.4619427
mitocheck	Prometaphase	1.0	-1.5051254	5.7332983
mitocheck	Prometaphase	1.0	-1.4472497	5.064124
mitocheck	Prometaphase	1.0	-2.8164306	4.952265
mitocheck	Prometaphase	1.0	-1.5589857	5.302678
mitocheck	Prometaphase	1.0	-1.2060962	0.97292906
mitocheck	Prometaphase	1.0	-2.5307314	5.9202633
mitocheck	Prometaphase	1.0	1.5530653	4.910387
mitocheck	Prometaphase	1.0	-1.3836999	5.803297
mitocheck	Prometaphase	1.0	0.87320465	3.5631275
mitocheck	Prometaphase	1.0	-1.8422718	5.067984
mitocheck	Prometaphase	1.0	1.969479	4.7715316
mitocheck	Prometaphase	1.0	-1.3970042	5.024028
mitocheck	Prometaphase	1.0	-1.6152568	5.6156836
mitocheck	Prometaphase	1.0	1.5166152	3.849594
mitocheck	Prometaphase	1.0	-1.587909	5.955877
mitocheck	Prometaphase	1.0	-1.1929743	3.8020344
mitocheck	Prometaphase	1.0	1.4681321	2.3771882
mitocheck	Prometaphase	1.0	-2.4075856	5.9113607
mitocheck	Prometaphase	1.0	2.123539	5.5567966
mitocheck	Prometaphase	1.0	0.04097434	2.816879
mitocheck	Prometaphase	1.0	-2.57685	6.0224733
mitocheck	Prometaphase	1.0	-1.8047441	4.445513
